place_id,방문자_리뷰수
1868359886,0
1323812622,0
1311695977,0
1650551571,0
1404198758,0
1054587722,211
1573115649,245
1407805860,300
1420076532,425
1337289813,428
1059948798,198
1199375408,321
1679915153,274
1125792665,855
1424284773,161
1093149808,293
1383332046,356
1014475021,407
1215644969,161
1615941540,724
1071087271,409
1617580186,409
1105573661,875
1893135961,25
1412314791,533
1126054619,252
1850542918,178
1007222625,40
1223431201,278
1862325808,588
1363879581,361
1114717401,17
1716265321,18
1294706090,525
1952342372,275
1352004712,103
1092241695,21
1431663493,52
1570808476,140
1182019957,679
1649791385,322
1724520201,750
1691525060,235
1726119908,1032
1825323955,457
1156965631,107
1640205976,327
1954680855,47
1298381290,467
2089691769,0
1084106478,218
1099660574,465
1512631131,538
1502264501,362
1595356400,409
1131531061,235
1166433305,433
1365133624,88
1520286568,525
1242738933,229
1220021369,73
1373524926,441
1299240760,258
1941169644,55
1618413004,46
1904735187,298
1212496284,576
1330188617,297
1348679964,576
1297849036,671
1449854694,19
1756212678,194
1491229549,263
1083611120,197
1883733660,119
1686744583,353
1007235152,155
1875677589,283
1081996780,323
1431943565,143
1394095183,83
1925263470,96
1125401397,200
1840210126,349
1708276745,77
2006884314,148
1219066886,180
1918585793,121
1716668282,275
1253841735,284
1642017043,329
1211085280,247
1267173845,199
1893946805,207
1103233906,130
1983903998,292
1790863038,154
1837963858,925
1116322096,508
1281283424,272
1004012665,848
1686775093,517
1208854457,323
1093524286,1113
1939413310,83
1264036723,148
1864336491,496
1665937291,272
1865144042,198
1528559468,246
1697616575,744
1638779414,384
1709618790,259
1447876791,305
1883160911,436
1487592716,347
1259438090,547
1142331080,307
1782064053,692
1827099901,255
1855644496,233
1743181781,221
1115085909,145
1397283887,217
1291366943,255
1107851565,211
1358873748,105
1027060589,92
1078478269,115
1380748932,313
1477241116,72
2073433504,0
1925758063,182
2004339615,0
1500937003,179
1387072005,471
1545807150,203
1375891395,132
1653318859,371
1202988463,193
1081200889,214
1564245185,249
1641298819,124
1043971488,126
1269638080,103
1121119852,62
1531287826,159
1336214521,378
1770103662,181
1714605319,122
1543726258,211
1593671504,197
1101064292,152
1639281481,299
1980846214,221
1334489648,233
1122647370,252
1995328139,172
1261572579,135
1484043295,85
2060028511,0
1120896099,190
1044195828,0
2028586634,15
1288163025,58
1461483346,370
1386930975,277
1475895833,18
1151781076,0
1192310932,179
1985336624,126
1212647341,295
1229628998,256
1164737192,176
1429059026,361
1341070762,0
1675941778,18
1539758577,371
1130662963,555
1152966956,70
1855730149,255
1934587126,289
1563654697,427
1095843436,129
1718262211,95
1221164706,590
1671462839,186
1140050388,216
1827234611,304
1003306910,284
1401517138,173
1496785057,166
1316989193,98
1528813980,0
1529376857,189
1306011169,34
1350593533,263
1185584557,91
1728053017,20
1934619685,0
1667394356,17
1166525407,57
1599677441,288
1609018605,14
1310839658,38
1604387325,25
1365525277,132
1047858386,129
1031083325,178
1942532632,370
1924330846,466
1231800684,362
1131916454,127
1486532406,51
1032543682,43
1283663444,169
1502886652,358
1347315519,125
1094108498,175
1315467654,133
1201225994,276
1095389920,94
1529303622,155
1275359715,102
1856141633,116
1326128647,91
1329344968,27
1345961322,505
1416268607,171
1715463219,381
1970770706,68
1047538304,209
1203738762,344
1085628828,68
1292391064,43
1618620966,338
1564897016,132
1930537898,57
1272666945,211
1743564761,103
1069547938,273
1664789586,127
1534049176,199
1104406299,24
1914402029,97
1053571029,432
1589740014,58
1251289688,14
1739324821,31
1973820010,483
1526986047,41
1788671295,78
1050993722,193
1046930641,702
1446761157,288
1276398984,198
2032724448,0
1626443443,193
1902214765,91
1583835753,281
1098387318,129
1957512936,494
1068781997,243
1744675487,134
1997098203,31
1419560678,78
1520975504,60
1700121235,73
1669752875,38
1819733849,228
1695640440,188
1662562207,281
1075452973,75
1183679383,288
1156178973,264
1961556567,177
1855603068,115
2036202855,0
1867887935,550
1773727770,220
1402050649,160
1477211341,222
1825725375,74
1689089491,185
1617851980,333
1927925705,327
1070341433,56
1376823175,155
1390740042,157
1264776733,176
1241677174,232
1553565618,161
1144308043,194
1149042526,440
1667781793,263
1623890470,100
1349495996,136
1468997905,81
1095383795,255
1777694244,221
1416990198,280
1992923813,81
1209111618,241
1910684172,61
1303652689,502
1699151005,220
1710467126,335
1660117557,128
1262360533,238
1403299671,167
1280687010,548
1582135442,146
1851194409,320
1899006096,257
1896506249,190
1352151835,325
1147712129,150
1348695159,74
1584181408,156
1816221934,534
1434024280,186
1535589492,265
1891683756,147
1177597880,129
1228767540,162
1091472254,149
1470294699,377
