place_id,블로그_리뷰수
1868359886,60.0
1323812622,36.0
1311695977,35.0
1650551571,69.0
1404198758,187.0
1054587722,43.0
1573115649,96.0
1407805860,33.0
1420076532,52.0
1337289813,32.0
1059948798,33.0
1199375408,61.0
1679915153,21.0
1125792665,97.0
1424284773,23.0
1093149808,92.0
1383332046,45.0
1014475021,40.0
1215644969,162.0
1615941540,136.0
1071087271,86.0
1617580186,42.0
1105573661,104.0
1893135961,15.0
1412314791,57.0
1126054619,26.0
1850542918,28.0
1007222625,10.0
1223431201,42.0
1862325808,84.0
1363879581,46.0
1114717401,7.0
1716265321,5.0
1294706090,77.0
1952342372,21.0
1352004712,15.0
1092241695,9.0
1431663493,8.0
1570808476,23.0
1182019957,105.0
1649791385,28.0
1724520201,94.0
1691525060,34.0
1726119908,92.0
1825323955,147.0
1156965631,17.0
1640205976,90.0
1954680855,10.0
1298381290,111.0
2089691769,1.0
1084106478,28.0
1099660574,113.0
1512631131,89.0
1502264501,35.0
1595356400,36.0
1131531061,26.0
1166433305,150.0
1365133624,20.0
1520286568,47.0
1242738933,14.0
1220021369,23.0
1373524926,52.0
1299240760,23.0
1941169644,12.0
1618413004,7.0
1904735187,30.0
1212496284,84.0
1330188617,27.0
1348679964,72.0
1297849036,98.0
1449854694,7.0
1756212678,23.0
1491229549,27.0
1083611120,34.0
1883733660,25.0
1686744583,38.0
1007235152,39.0
1875677589,65.0
1081996780,43.0
1431943565,29.0
1394095183,9.0
1925263470,21.0
1125401397,29.0
1840210126,62.0
1708276745,8.0
2006884314,2.0
1219066886,39.0
1918585793,18.0
1716668282,75.0
1253841735,33.0
1642017043,126.0
1211085280,34.0
1267173845,21.0
1893946805,43.0
1103233906,20.0
1983903998,40.0
1790863038,23.0
1837963858,65.0
1116322096,52.0
1281283424,47.0
1004012665,175.0
1686775093,50.0
1208854457,174.0
1093524286,114.0
1939413310,23.0
1264036723,34.0
1864336491,37.0
1665937291,22.0
1865144042,36.0
1528559468,25.0
1697616575,123.0
1638779414,52.0
1709618790,36.0
1447876791,35.0
1883160911,39.0
1487592716,48.0
1259438090,72.0
1142331080,21.0
1782064053,146.0
1827099901,40.0
1855644496,41.0
1743181781,19.0
1115085909,13.0
1397283887,15.0
1291366943,26.0
1107851565,56.0
1358873748,10.0
1027060589,10.0
1078478269,27.0
1380748932,37.0
1477241116,26.0
2073433504,0.0
1925758063,7.0
2004339615,4.0
1500937003,7.0
1387072005,137.0
1545807150,21.0
1375891395,14.0
