place_id,exit_info,status
1121119852,,no_data
1531287826,의왕역 2번 출구에서 336 m,success
1336214521,중앙역 1번 출구에서 411 m,success
1770103662,갈매역 1번 출구에서 353 m,success
1714605319,,no_data
1543726258,,no_data
1593671504,별내별가람역 3번 출구에서 215 m,success
1101064292,,no_data
1639281481,,no_data
1980846214,금릉역 1번 출구에서 958 m,success
1334489648,하남시청역 5번 출구에서 416 m,success
1122647370,,no_data
1995328139,,no_data
1261572579,,no_data
1484043295,마산역 2번 출구에서 403 m,success
2060028511,,no_data
1120896099,,no_data
1044195828,,no_data
2028586634,신중동역 3번 출구에서 498 m,success
1288163025,,no_data
1461483346,모란역 2번 출구에서 211 m,success
1386930975,평내호평역 1번 출구에서 312 m,success
1475895833,산성역 3번 출구에서 873 m,success
1151781076,당정역 1번 출구에서 903 m,success
1192310932,,no_data
1985336624,,no_data
1212647341,별내역 4번 출구에서 733 m,success
1229628998,,no_data
1164737192,,no_data
1429059026,,no_data
1341070762,,no_data
1675941778,주엽역 2번 출구에서 54 m,success
1539758577,,no_data
1130662963,,no_data
1152966956,시흥능곡역 3번 출구에서 246 m,success
1855730149,다산역 6번 출구에서 173 m,success
1934587126,선부역 1번 출구에서 118 m,success
1563654697,미사역 9번 출구에서 227 m,success
1095843436,,no_data
1718262211,정왕역 2번 출구에서 48 m,success
1221164706,수원역 8번 출구에서 347 m,success
1671462839,오산대역 1번 출구에서 384 m,success
1140050388,,no_data
1827234611,탄현역 2번 출구에서 496 m,success
1003306910,경기도청북부청사역 1번 출구에서 382 m,success
1401517138,,no_data
1496785057,,no_data
1316989193,,no_data
1528813980,수내역 1번 출구에서 195 m,success
1529376857,지행역 1번 출구에서 244 m,success
1306011169,,no_data
1350593533,의정부역 5번 출구에서 369 m,success
1185584557,소사역 7번 출구에서 264 m,success
1728053017,,no_data
1934619685,,no_data
1667394356,,no_data
1166525407,,no_data
1599677441,,no_data
1609018605,,no_data
1310839658,춘의역 3번 출구에서 671 m,success
1604387325,오산역 1번 출구에서 879 m,success
1365525277,,no_data
1047858386,,no_data
1031083325,흥선역 2번 출구에서 371 m,success
1942532632,정발산역 1번 출구에서 333 m,success
1924330846,,no_data
1231800684,회룡역 4번 출구에서 195 m,success
1131916454,,no_data
1486532406,일산역 2번 출구에서 185 m,success
1032543682,,no_data
1283663444,수지구청역 4번 출구에서 325 m,success
