place_id,지점명,리뷰수
1520975504,퇴계원점,52
1700121235,태전점,68
1669752875,,32
1819733849,김포구래점,195
1695640440,,166
1662562207,야탑점,244
1075452973,,85
1183679383,일산백석점,275
1156178973,성균관대점,211
1961556567,,123
1855603068,평택고덕점,90
2036202855,,0
1867887935,화정점,458
1773727770,,176
1402050649,,119
1477211341,중리점,211
1825725375,,47
1689089491,보라점,175
1617851980,병점점,232
1927925705,서현점,260
1070341433,,38
1376823175,,136
1390740042,,139
1264776733,영통점,139
1241677174,소사벌점,187
1553565618,하이닉스점,200
1144308043,,181
1149042526,장기점,412
1667781793,,217
1623890470,문산점,65
1349495996,,138
1468997905,신도시점,73
1095383795,영천점,182
1777694244,초지점,148
1416990198,,174
1992923813,,117
1209111618,광명역점,184
1910684172,,57
1303652689,안양일번가점,414
1699151005,,207
1710467126,,253
1660117557,,98
1262360533,상록수점,168
1403299671,평택용이점,133
1280687010,,420
1582135442,,201
1851194409,원흥점,263
1899006096,신구대점,234
1896506249,중앙역점,148
1352151835,,317
1147712129,능동점,113
1348695159,,49
1584181408,,121
1816221934,금정점,455
1434024280,향남2지구점,151
1535589492,하안점,291
1891683756,,152
1177597880,교하점,126
1228767540,,175
1091472254,신원점,138
1470294699,구리돌다리점,350
