place_id,지점명,lat,lng,nearest_station
1868359886,구청점,37.5527140888822,126.85217839994,가양역
1323812622,명지대점,37.5796867059389,126.925270059374,증산(명지대앞)역
1311695977,서울신풍역점,37.498764824654,126.908127515183,신풍역
1650551571,서울상봉점,37.5942373846102,127.088287041705,상봉(시외버스터미널)역
1404198758,오류점,37.4971751150817,126.844202347868,오류동역
1054587722,서울방배역점,37.4820507706275,126.996653348122,방배역
1573115649,,37.5916101652418,127.05169994721,회기역
1407805860,,37.6192733426894,127.044888913925,돌곶이역
1420076532,화곡역점,37.5404379073919,126.835105589725,화곡역
1337289813,삼거리점,37.4991750210014,126.927951399829,신대방삼거리역
1059948798,서울동덕여대점,37.6055965277208,127.044371072119,상월곡(한국과학기술연구원)역
1199375408,성수점,37.5451983475763,127.055096561469,성수역
1679915153,구청점,37.5258579679888,126.897143451366,영등포구청역
1125792665,홍대점,37.5503293020802,126.920738806367,상수역
1424284773,,37.4694288001871,126.936819962925,서울대벤처타운역
1093149808,,37.4965588396401,127.120321812597,경찰병원역
1383332046,,37.5826059807016,127.087741196445,사가정역
1014475021,,37.6005041145242,126.918443425338,응암역
1215644969,사당점,37.4746069262817,126.980837796416,사당역
1615941540,구로디지털단지점,37.4844958015168,126.900614781201,구로디지털단지역
1071087271,,37.5911065475937,127.018014468743,성신여대입구(돈암)역
1617580186,까치산점,37.529417600635,126.847721656194,까치산역
1105573661,대학로점,37.5831071035527,127.000792506521,혜화역
1893135961,,37.479965266654,126.882644342333,가산디지털단지역
1412314791,공릉점,37.6272213152593,127.07725838329,공릉(서울과학기술대)역
1126054619,신길점,37.5142253625524,126.919510160367,신길역
1850542918,,37.4874670379889,126.888195684932,남구로역
1007222625,,37.4904528235145,126.927213481953,당곡역
1223431201,명일점,37.5518098012982,127.143179935738,명일역
1862325808,서울대입구역점,37.4792762721094,126.955319328177,서울대입구(관악구청)역
1363879581,,37.5487486647295,126.866433470778,등촌역
1114717401,,37.4657979456725,126.888386214841,독산역
1716265321,시장점,37.6085687986192,127.008777169503,북한산보국문역
1294706090,입구점,37.5443789042399,126.97175610675,숙대입구(갈월)역
1952342372,신내점,37.6054214155638,127.096306961883,망우역
1352004712,,37.6129480449361,127.065011489573,석계역
1092241695,서울개봉푸르지오점,37.5015758799866,126.847156211908,오류동역
1431663493,사거리점,37.656783496951,127.038825827674,창동역
1570808476,일원점,37.489689649689,127.082419686478,대청역
1182019957,,37.5127981352794,126.94448613995,노량진역
1649791385,,37.4693672903998,126.899945248687,독산역
1724520201,3가역점,37.565852636888,126.990039359313,을지로3가역
1691525060,,37.5494815830188,127.172835825757,강일역
1726119908,발산역점,37.55981857238,126.835255294219,발산역
1825323955,건대점,37.5420298793459,127.066658472293,건대입구역
1156965631,,37.6556628968219,127.013406381974,솔밭공원역
1640205976,길동점,37.5369585366919,127.137969479751,길동역
1954680855,교대점,37.4918621605703,127.012257584808,교대(법원.검찰청)역
1298381290,영등포점,37.51852449156,126.908951676458,영등포역
2089691769,,37.4946572406965,126.957379559247,숭실대입구(살피재)역
1084106478,낙성대점,37.4766306878807,126.965405354896,낙성대역
1099660574,미성점,37.4747786895718,126.918636765003,서원역
1512631131,신촌점,37.5574741162232,126.935364947716,신촌역
1502264501,,37.5640410229797,127.015608398702,신당역
1595356400,,37.6605147840827,127.073960892974,상계역
1131531061,,37.6021225757513,126.927138797833,역촌역
1166433305,왕십리점,37.5633707420309,127.032869023373,상왕십리역
1365133624,선릉점,37.5039513741486,127.05310968295,선릉역
1520286568,,37.5560898832901,126.925667105035,홍대입구역
1242738933,아차산점,37.5535205228688,127.089506495619,아차산(어린이대공원후문)역
1220021369,,37.5072182587976,126.910741087332,신풍역
1373524926,,37.569447150829,126.985590335336,종각역
1299240760,,37.5879811062745,127.00937483121,한성대입구(삼선교)역
1941169644,한양대점,37.559214742775,127.040597326824,왕십리(성동구청)역
1618413004,,37.5189823725636,126.886282229693,도림천역
1904735187,장한평점,37.5625817730115,127.066427773896,장한평역
1212496284,,37.5560414564479,127.07951622664,군자(능동)역
1330188617,,37.6334257584991,126.917784355814,구파발역
1348679964,,37.5176837027842,127.021231929877,신사역
1297849036,노원점,37.6556378998709,127.06286151499,노원역
1449854694,독산2동점,37.4639097244346,126.903015775556,금천구청역
1756212678,암사점,37.5493574769714,127.128939204979,암사역
1491229549,오목교점,37.5247472729775,126.875831866674,오목교(목동운동장앞)역
1083611120,,37.5018977289543,126.94835066458,상도역
1883733660,남성역점,37.4840209549594,126.97305648392,남성역
1686744583,,37.4970239280269,127.147225492776,거여역
1007235152,용산점,37.5309085180395,126.970007574763,신용산역
1875677589,마곡나루점,37.5686279324009,126.827289733105,마곡나루역
1081996780,강남역점,37.5005818566479,127.0251852539,강남역
1431943565,,37.5589280105462,126.964314780708,충정로(경기대입구)역
1394095183,,37.4526285244115,126.902374837435,금천구청역
1925263470,,37.6683317526055,127.04533781969,방학역
1125401397,쌍문역점,37.6469286856086,127.032395906084,쌍문역
1840210126,가산점,37.4783514872955,126.891035690377,가산디지털단지역
1708276745,,37.5072744836989,126.902100137994,신도림역
2006884314,신논현점,37.5072404879288,127.024226136131,신논현역
1219066886,,37.4942913664091,126.858083366428,개봉역
1918585793,,37.5270315363108,127.039131810146,압구정로데오역
1716668282,,37.5856533027574,127.029210520631,안암(고대병원앞)역
1253841735,홍제점,37.5868600813419,126.944227386308,홍제역
1642017043,사거리점,37.4824256312482,126.914908697842,신대방역
1211085280,서울미아점,37.6262438086824,127.025261576321,미아(서울사이버대학)역
