시군구,면적_km2
가평군,5059.62
고양시,2413.02
과천시,215.22
광명시,231.13
광주시,2585.94
구리시,200.0
군포시,218.52
김포시,1659.6
남양주시,2748.74
동두천시,574.02
부천시,374.2
성남시,1274.67
수원시,1089.85
시흥시,836.1
안산시,1408.58
안성시,3321.08
안양시,526.5
양주시,1862.7
양평군,5267.02
여주시,3649.39
연천군,4067.87
오산시,256.2
용인시,5321.16
의왕시,324.18
의정부시,489.27
이천시,2768.95
파주시,4043.44
평택시,2749.9
포천시,4962.4800000000005
하남시,557.9399999999999
화성시,4201.64
