place_id,월평균_리뷰수_log,요리주점_밀도,요리주점_밀도_log,brand_type,요리주점_존재
1716668282,2.961830721878309,0.1628001628001628,0.1508310297095939,경쟁사,1
1253841735,2.8763855159214247,0.1418037436188315,0.1326092432419212,경쟁사,1
1642017043,3.164067588373206,0.1521812647954007,0.1416568978084893,경쟁사,1
1211085280,2.762117422372486,0.0635593220338983,0.0616211341061738,경쟁사,1
1267173845,2.852631429913317,0.1621621621621621,0.1502822030493379,경쟁사,1
1893946805,2.847812143477369,0.1626677511183407,0.1507171501061191,경쟁사,1
1103233906,2.1400661634962708,0.2443991853360488,0.2186528313770746,경쟁사,1
1983903998,2.8763855159214247,0.1621621621621621,0.1502822030493379,경쟁사,1
1790863038,2.532373187026924,0.0638705556738343,0.0619137253172098,경쟁사,1
1837963858,4.171819874390391,0.1033057851239669,0.098310932243563,경쟁사,1
1116322096,3.521446509813732,0.1467505241090146,0.1369323115336399,경쟁사,1
1281283424,2.948815353766239,0.2485089463220675,0.2219499963684593,경쟁사,1
1004012665,4.1244425933793805,0.1626677511183407,0.1507171501061191,경쟁사,1
1686775093,3.657130755799356,0.2010338885697875,0.1831827596604445,경쟁사,1
1208854457,3.2386784521643803,0.205158264947245,0.1866108985234313,경쟁사,1
1093524286,4.531703034106219,0.1033057851239669,0.098310932243563,경쟁사,1
1939413310,1.957744606702316,0.2446483180428134,0.2188530145453415,경쟁사,1
1264036723,2.327277705584417,0.0635593220338983,0.0616211341061738,경쟁사,1
1864336491,3.280284452996844,0.205158264947245,0.1866108985234313,경쟁사,1
1665937291,3.091042453358316,0.1482799525504151,0.1382651292747214,경쟁사,1
1865144042,2.6508917872622613,0.251004016064257,0.2239464417628001,경쟁사,1
1528559468,3.1098047298138387,0.205158264947245,0.1866108985234313,경쟁사,1
1697616575,3.9781228071326695,0.2485089463220675,0.2219499963684593,경쟁사,1
1638779414,3.2676659890376327,0.0914494741655235,0.0875066056620622,경쟁사,1
1709618790,2.70805020110221,0.0914494741655235,0.0875066056620622,경쟁사,1
1447876791,3.075774981227528,0.1521812647954007,0.1416568978084893,경쟁사,1
1883160911,3.3262343431887,0.0635593220338983,0.0616211341061738,경쟁사,1
1487592716,3.1849742731925192,0.2446483180428134,0.2188530145453415,경쟁사,1
1259438090,3.633190548253348,0.1467505241090146,0.1369323115336399,경쟁사,1
1142331080,2.9661318037777,0.0564334085778781,0.054898525872511,경쟁사,1
1782064053,3.7803945629497098,0.1033057851239669,0.098310932243563,경쟁사,1
1827099901,2.89499070375246,0.2446483180428134,0.2188530145453415,경쟁사,1
1855644496,2.7024791560527546,0.1467505241090146,0.1369323115336399,경쟁사,1
1743181781,2.719100037288795,0.2443991853360488,0.2186528313770746,경쟁사,1
1115085909,2.463853240590168,0.0040018335673799,0.0039938475302004,경쟁사,1
1397283887,2.7024791560527546,0.0163508901015799,0.0162186538049858,경쟁사,1
1291366943,3.245193133185574,0.0,0.0,경쟁사,0
