브랜드,성과 변수,상관계수,p-value,관찰치 수,분석 방법
경쟁사,월평균_리뷰수_log,0.11375239526830092,0.03980170951071835,327,Spearman
자사,월평균_리뷰수_log,0.11422932962087304,0.2505898342669344,103,Spearman
